Gene locus,mass fraction
b1735,0.0
b1888,0.001615674
b1883,0.0002760076
b1884,0.0001131601
b1887,0.001385588
b1882,0.001317583
b1881,0.001079253
b3338,0.0
b0681,0.0
b1741,0.0
b4225,0.0
b4224,0.0
b2155,6.902863e-05
b0618,0.0
b0617,0.0
b0616,0.0
b0615,0.0
b0613,0.0
b0612,0.0
b0614,0.0
b0155,0.0
b1592,6.22692e-06
b0882,0.001177685
b2592,0.000681868
b0437,0.0004472407
b0881,0.0
b0438,0.0007461097
b1249,0.0
b0789,0.0
b1046,0.0
b0910,7.617865e-05
b1870,5.087223e-05
b1871,4.116699e-05
b0921,1.654051e-05
b2933,0.0
b2934,0.0
b1625,1.325526e-05
b3974,0.000104926
b3634,3.339641e-05
b0103,2.059544e-05
b1120,0.0001486314
b0638,0.0
b1992,2.991815e-05
b1991,3.773841e-05
b1993,0.0
b0337,0.000263732
b0336,8.185706e-05
b0446,0.0
b1111,0.0001365111
b0484,0.0007441438
b3816,0.0001312809
b3032,5.57723e-05
b4213,0.0002381453
b0742,0.0002508088
b2049,0.0
b2048,0.0
b2896,0.0
b3911,4.515022e-05
b4484,8.263918e-05
b3912,0.0003224008
b0080,0.0001550553
b0624,0.0
b4397,6.850859e-05
b4398,0.0
b4399,0.0
b4400,0.0
b4109,9.78598e-05
b0240,8.236792e-05
b3357,0.0006478473
b2417,0.001485656
b2810,2.012716e-05
b2811,2.165897e-05
b1042,0.0
b1041,0.0
b1043,0.0
b1040,0.0
b1039,0.0
b1038,0.0
b1037,0.0
b2659,2.468725e-05
b2535,0.0
b2664,0.0
b3556,7.172517e-05
b1557,0.0
b1823,0.001442572
b0880,0.000421149
b0623,0.002554003
b1558,0.0
b0990,2.566261e-06
b0989,0.0
b1552,0.0
b2696,0.0
b3252,0.0
b0598,0.001081465
b0123,0.0006136549
b0487,4.35735e-05
b1449,7.472604e-05
b0575,1.219875e-05
b0574,2.10701e-05
b0572,9.637477e-06
b0573,3.662116e-05
b0571,0.0001564969
b0570,4.304811e-05
b4137,0.0
b1874,3.345968e-05
b2313,0.0
b1191,4.307811e-05
b3806,0.0001127689
b3807,0.0001016178
b1418,0.0
b4208,0.0003658492
b0733,0.0002555847
b0734,0.0001562312
b0886,6.676827e-05
b0887,7.031554e-05
b4515,0.0
b0338,0.0
b0340,0.0
b0339,0.0
b0341,0.0
b0432,0.0004715251
b0431,0.0007274879
b0430,0.0
b0429,0.0
b0428,0.0
b2422,0.0008375223
b1275,0.000230081
b2750,0.0001218304
b2752,0.0008193911
b3607,0.0001714855
b3368,5.624958e-05
b2762,0.0003455898
b2763,0.0008974093
b2764,0.0006362902
b2414,0.004636436
b2421,0.0002940776
b2751,0.0009435082
b2425,0.000705524
b4214,0.0001288482
b0526,0.0002701952
b2424,0.0001492242
b2423,0.0
b2413,0.0
b3934,4.32503e-05
b0632,0.0002917796
b3182,8.91762e-05
b0839,0.0003204964
b2010,1.352221e-06
b1189,0.0001759597
b1190,0.000113213
b3387,3.496239e-05
b3388,0.00026663
b2478,0.000524938
b0031,0.0003134578
b0166,0.001754925
b2472,8.029358e-05
b3809,6.297404e-05
b1206,0.0
b1343,0.0
b2065,0.0002039139
b1961,5.664908e-05
b1538,0.0004293225
b3472,0.0001695716
b3528,4.660318e-05
b3507,0.0
b4138,0.0002053367
b4123,0.0
b0621,0.0
b3227,0.0
b4124,0.0
b4125,0.0
b1919,0.0003063602
b0381,5.062839e-05
b0092,7.52231e-05
b1487,4.415837e-05
b1486,0.0
b1485,0.0
b1484,0.0
b1483,0.0
b1488,0.0
b3162,0.0002497224
b2317,0.0
b2314,3.557807e-05
b3287,4.42492e-05
b0161,0.001362083
b3234,0.0002180032
b3235,3.471079e-05
b4382,7.693869e-05
b4383,0.000354287
b4381,7.072812e-05
b4384,0.0007397919
b0840,0.0
b2511,0.0002697792
b3639,0.0001269877
b0385,0.0
b2067,0.0
b1522,0.0
b0834,0.0
b1786,0.0
b1341,0.0
b2604,0.0
b1794,0.0
b1956,0.0
b1025,0.0
b1535,0.0
b4042,5.378628e-05
b4477,0.0
b4478,0.0
b3693,0.0
b4479,4.848607e-05
b3691,0.0
b0160,0.0
b1200,0.0001120721
b1199,0.0001153989
b1198,8.68349e-05
b1201,0.0
b3149,4.5371e-05
b1570,4.503548e-05
b1575,0.0
b1569,0.0
b0231,0.0
b3645,0.0
b4044,0.0
b0799,0.0
b1061,0.0
b0226,4.351639e-05
b4613,0.0
b0055,3.653511e-05
b0646,0.0
b0649,0.0
b3012,4.68187e-05
b0207,4.411385e-05
b0145,0.00097499
b2133,0.0006103573
b1800,0.0
b1799,0.0
b0894,0.0001706476
b0895,0.0
b0896,0.0
b1591,3.001779e-05
b3702,0.0001353976
b4052,6.696877e-05
b4361,3.145651e-05
b0184,7.068441e-05
b3066,5.666629e-05
b0015,0.0003211851
b0014,0.005086197
b3701,0.0001352075
b0215,0.0
b4362,1.642032e-05
b0470,0.0001162626
b1490,0.0
b1489,0.0
b0620,0.0
b0619,0.0
b3544,0.007695253
b3543,0.0002146128
b3542,0.0001341051
b3541,0.000187454
b3540,0.0002022089
b0812,9.091766e-05
b3860,0.0003198667
b1185,0.0001172295
b2893,0.0001429751
b4136,0.0
b0604,5.074359e-05
b2366,3.916992e-05
b2364,0.0
b2365,0.0
b1952,0.0
b3887,8.692653e-05
b1634,0.0
b3496,0.0
b4130,0.0
b0709,0.0
b4049,6.015655e-05
b3260,2.60514e-05
b2140,0.0
b3640,0.0001482448
b0173,4.087639e-05
b0420,0.0001999567
b0297,0.0
b1533,0.0
b2578,0.0
b3076,0.0
b3077,0.0
b3075,1.646576e-05
b4410,0.0
b4411,6.182124e-05
b2209,1.567164e-05
b0293,0.0
b0292,0.0
b0291,0.0
b0290,0.0
b0289,0.0
b0294,0.0
b1850,0.0003504796
b1851,4.062759e-05
b1019,1.475626e-05
b1018,8.217885e-05
b1016,0.0
b4147,0.001000049
b2267,2.488481e-05
b2266,0.0002003406
b2269,5.196358e-06
b3209,0.0002108986
b0938,0.0
b0940,0.0
b0939,0.0
b0941,0.0
b0920,1.21021e-05
b2685,5.077678e-05
b2686,0.0
b3673,0.0
b0543,0.0
b2368,0.0
b2367,0.0
b1193,5.428857e-05
b2945,0.0
b2779,0.004113714
b0596,9.648114e-06
