Gene locus,mass fraction
b3241,0.0
b3240,0.0
b3243,0.0
b3242,0.0
b2836,3.51293e-05
b0885,0.0
b1338,0.0
b1337,0.0
b1339,0.0
b1336,0.0
b2628,0.0
b2627,0.0
b0715,0.0
b0185,0.0006555554
b3255,0.0007512565
b3256,0.001021278
b2316,0.0007388126
b4015,0.0002015495
b4014,0.0001459918
b0114,0.004370611
b0115,0.002477503
b4016,0.0
b2296,0.0009408159
b1276,0.0002110934
b0118,0.004680045
b0404,0.0
b1094,0.00426647
b2563,1.424923e-05
b3475,2.295264e-05
b0463,0.0004597494
b0462,0.0004164903
b2470,0.0
b3265,0.0
b3266,9.293697e-07
b0464,0.0
b0762,0.0
b4069,0.0002544573
b4067,1.793239e-05
b2213,0.0
b1623,5.033073e-05
b3665,3.619084e-05
b3714,0.0001047193
b3664,0.0
b1241,0.00241004
b1478,0.0
b4117,0.0
b4115,0.0
b4116,0.0
b0474,0.0007136898
b2468,2.302103e-06
b3072,6.171476e-05
b0476,0.0
b0263,0.0
b0262,0.0
b3135,0.0
b3138,0.0
b3139,0.0
b3140,0.0
b3141,0.0
b3131,4.837097e-05
b3136,0.0
b3133,0.0
b3134,0.0
b1002,4.664668e-05
b0605,0.005408774
b0606,0.0005684896
b4269,0.0
b4187,0.0
b2252,0.0
b2290,0.0001712483
b2379,0.0001078249
b2670,0.0
b2697,0.001960037
b1415,0.001013701
b3588,5.536975e-05
b2068,0.0
b2212,3.898757e-06
b0505,0.0
b0512,0.0
b0516,0.0
b0517,0.0
b0515,0.0
b0506,0.0001609286
b0504,0.0
b2624,0.0
b4053,5.576946e-05
b4087,0.0
b4088,0.0
b4086,0.0
b4085,0.0
b4084,0.0
b3088,4.289735e-05
b2435,5.986172e-05
b4169,7.50976e-05
b2817,3.543653e-05
b0867,1.499538e-05
b1982,0.0002704861
b4150,1.839707e-05
b0110,0.0
b0111,0.0
b0433,4.854161e-05
b0376,4.793297e-05
b0451,0.0
b1927,4.972196e-05
b1640,5.299599e-05
b1767,0.0001066098
b2957,0.0
b1453,0.0
b0050,2.427508e-05
b0049,2.758667e-05
b4055,1.252074e-05
b0980,1.979779e-05
b0979,0.0
b0978,0.0
b4592,0.0
b0564,0.0
b0469,0.0003366982
b0875,0.0
b0062,0.0
b0063,0.0
b0064,0.0
b0061,0.0
b2841,0.0
b1901,2.045631e-06
