Gene locus,mass fraction
b3241,0.0
b3240,0.0
b3243,0.0
b3242,0.0
b2836,4.541657e-05
b0885,0.0
b1338,0.0
b1337,0.0
b1339,0.0
b1336,0.0
b2628,0.0
b2627,0.0
b0715,0.0
b0185,0.0006024916
b3255,0.0006474544
b3256,0.0009765848
b2316,0.0006857204
b4015,0.0003715331
b4014,0.0001921841
b0114,0.003344695
b0115,0.001909972
b4016,0.0
b2296,0.0006679205
b1276,0.0002519035
b0118,0.006845486
b0404,0.0
b1094,0.004246277
b2563,1.357532e-05
b3475,2.563859e-05
b0463,0.0004210058
b0462,0.0003759434
b2470,0.0
b3265,0.0
b3266,8.751075e-07
b0464,1.924956e-05
b0762,0.0
b4069,0.001010159
b4067,0.000103535
b2213,0.0
b1623,6.172975e-05
b3665,3.917094e-05
b3714,0.0001243891
b3664,0.0
b1241,0.001859175
b1478,0.0
b4117,0.0
b4115,0.0
b4116,0.0
b0474,0.0005827403
b2468,1.677229e-06
b3072,0.0001802086
b0476,0.0
b0263,0.0
b0262,0.0
b3135,0.0
b3138,0.0
b3139,0.0
b3140,0.0
b3141,0.0
b3131,4.599808e-05
b3136,0.0
b3133,0.0
b3134,0.0
b1002,7.980007e-05
b0605,0.004988488
b0606,0.0005311765
b4269,0.0
b4187,0.0
b2252,0.0
b2290,0.0001953348
b2379,0.0001107912
b2670,0.0
b2697,0.001696081
b1415,0.003083278
b3588,5.440233e-05
b2068,0.0
b2212,3.337492e-06
b0505,0.0
b0512,2.109356e-05
b0516,0.0
b0517,0.0
b0515,0.0
b0506,0.0001350358
b0504,0.0
b2624,0.0
b4053,4.9997e-05
b4087,0.0
b4088,1.079111e-05
b4086,0.0
b4085,0.0
b4084,0.0
b3088,0.0
b2435,5.429924e-05
b4169,7.19868e-05
b2817,4.173679e-05
b0867,0.0
b1982,0.0003063262
b4150,1.678023e-05
b0110,0.0
b0111,0.0
b0433,0.0
b0376,6.629693e-05
b0451,0.0
b1927,8.909881e-05
b1640,5.32318e-05
b1767,0.0001040469
b2957,0.0
b1453,0.0
b0050,1.70479e-05
b0049,3.310538e-05
b4055,1.911202e-05
b0980,1.800682e-05
b0979,0.0
b0978,0.0
b4592,0.0
b0564,0.0
b0469,0.0002837478
b0875,0.0
b0062,0.0
b0063,1.811543e-05
b0064,0.0
b0061,0.0
b2841,0.0
b1901,8.135529e-07
