Gene locus,mass fraction
b3241,0.0
b3240,0.0
b3243,0.0
b3242,0.0
b2836,3.325287e-05
b0885,0.0
b1338,0.0
b1337,0.0
b1339,0.0
b1336,0.0
b2628,0.0
b2627,0.0
b0715,0.0
b0185,0.0005864699
b3255,0.0006530923
b3256,0.001002427
b2316,0.0006910459
b4015,0.0007420375
b4014,0.0003203298
b0114,0.002933011
b0115,0.001809775
b4016,0.0
b2296,0.0006723142
b1276,0.0003128637
b0118,0.008800177
b0404,0.0
b1094,0.003933968
b2563,1.560186e-05
b3475,3.092875e-05
b0463,0.0004245445
b0462,0.0003835989
b2470,0.0
b3265,0.0
b3266,8.533524e-07
b0464,5.303722e-06
b0762,0.0
b4069,0.002284748
b4067,0.0003451132
b2213,0.0
b1623,6.312186e-05
b3665,4.471304e-05
b3714,0.0
b3664,0.0
b1241,0.001551327
b1478,0.0
b4117,0.0
b4115,0.0
b4116,0.0
b0474,0.0005500077
b2468,1.312775e-06
b3072,0.0002485034
b0476,0.0
b0263,0.0
b0262,0.0
b3135,0.0
b3138,0.0
b3139,0.0
b3140,0.0
b3141,0.0
b3131,4.915002e-05
b3136,0.0
b3133,0.0
b3134,0.0
b1002,0.000114616
b0605,0.005279877
b0606,0.0005009928
b4269,0.0
b4187,0.0
b2252,0.0
b2290,0.0002074262
b2379,0.0001127098
b2670,0.0
b2697,0.001547493
b1415,0.005338487
b3588,0.0
b2068,0.0
b2212,3.899308e-06
b0505,0.0
b0512,0.0
b0516,0.0
b0517,0.0
b0515,0.0
b0506,0.0001171022
b0504,0.0
b2624,0.0
b4053,4.64044e-05
b4087,0.0
b4088,1.44534e-05
b4086,0.0
b4085,0.0
b4084,0.0
b3088,3.48189e-05
b2435,6.117353e-05
b4169,6.012772e-05
b2817,4.102697e-05
b0867,1.302602e-05
b1982,0.0003005175
b4150,0.0
b0110,0.0
b0111,1.639043e-05
b0433,0.0
b0376,5.936835e-05
b0451,0.0
b1927,8.731654e-05
b1640,5.524032e-05
b1767,9.686415e-05
b2957,0.0
b1453,0.0
b0050,1.963416e-05
b0049,3.320903e-05
b4055,2.423666e-05
b0980,0.0
b0979,0.0
b0978,0.0
b4592,0.0
b0564,0.0
b0469,0.0002510094
b0875,0.0
b0062,0.0
b0063,2.054335e-05
b0064,0.0
b0061,0.0
b2841,0.0
b1901,1.408625e-06
b1900,7.057305e-05
