Gene locus,mass fraction
b3241,0.0
b3240,0.0
b3243,0.0
b3242,0.0
b2836,3.83708e-05
b0885,0.0
b1338,0.0
b1337,0.0
b1339,0.0
b1336,0.0
b2628,0.0
b2627,0.0
b0715,0.0
b0185,0.0006031442
b3255,0.0006531427
b3256,0.0008925239
b2316,0.0007253046
b4015,0.0003123243
b4014,0.000176048
b0114,0.003705525
b0115,0.001985632
b4016,0.0
b2296,0.0006902541
b1276,0.0002141267
b0118,0.005787437
b0404,0.0
b1094,0.004316004
b2563,1.49677e-05
b3475,3.549268e-05
b0463,0.0004319277
b0462,0.0003782837
b2470,0.0
b3265,0.0
b3266,8.667756e-07
b0464,5.743298e-06
b0762,0.0
b4069,0.0005961518
b4067,5.131055e-05
b2213,0.0
b1623,5.705967e-05
b3665,3.017196e-05
b3714,0.0001242252
b3664,0.0
b1241,0.002018147
b1478,0.0
b4117,0.0
b4115,0.0
b4116,0.0
b0474,0.0006614703
b2468,1.96492e-06
b3072,0.000176712
b0476,0.0
b0263,0.0
b0262,0.0
b3135,0.0
b3138,0.0
b3139,0.0
b3140,0.0
b3141,0.0
b3131,4.381963e-05
b3136,0.0
b3133,0.0
b3134,0.0
b1002,5.179795e-05
b0605,0.005342714
b0606,0.0004823483
b4269,1.717127e-05
b4187,0.0
b2252,0.0
b2290,0.0001834636
b2379,0.0001037971
b2670,0.0
b2697,0.001807369
b1415,0.002197618
b3588,0.0
b2068,0.0
b2212,3.640577e-06
b0505,0.0
b0512,0.0
b0516,0.0
b0517,0.0
b0515,0.0
b0506,0.0001204599
b0504,0.0
b2624,0.0
b4053,5.447278e-05
b4087,0.0
b4088,9.77754e-06
b4086,0.0
b4085,0.0
b4084,0.0
b3088,0.0
b2435,6.267024e-05
b4169,6.725197e-05
b2817,3.941118e-05
b0867,1.13324e-05
b1982,0.0002746387
b4150,2.182875e-05
b0110,0.0
b0111,0.0
b0433,0.0
b0376,5.311296e-05
b0451,0.0
b1927,8.479555e-05
b1640,4.101718e-05
b1767,0.0001062645
b2957,0.0
b1453,0.0
b0050,1.67798e-05
b0049,4.068616e-05
b4055,0.0
b0980,1.802207e-05
b0979,0.0
b0978,0.0
b4592,0.0
b0564,0.0
b0469,0.0003047665
b0875,0.0
b0062,0.0
b0063,0.0
b0064,0.0
b0061,0.0
b2841,0.0
b1901,4.921715e-07
b1900,4.168747e-05
