Gene locus,mass fraction
b1734,0.0
b1733,0.0
b1735,0.0
b1888,0.001634519
b1883,0.0003008293
b1884,0.0001548176
b1887,0.001453593
b1882,0.001302423
b1881,0.001032516
b3338,0.0
b0681,0.0
b1741,0.0
b4225,0.0
b4224,0.0
b2155,5.82475e-05
b0618,0.0
b0617,0.0
b0616,0.0
b0615,0.0
b0613,0.0
b0612,0.0
b0614,0.0
b0155,0.0
b1592,5.980971e-06
b0882,0.001197956
b2592,0.0007012612
b0437,0.0004291691
b0881,0.0
b0438,0.0006996894
b1249,0.0
b0789,0.0
b1046,0.0
b0910,7.495269e-05
b1870,4.291682e-05
b1871,3.86789e-05
b0921,0.0
b2933,0.0
b2934,0.0
b1625,9.552635e-06
b3974,0.0001076814
b3634,3.884299e-05
b0103,2.025141e-05
b1120,0.0001603887
b0638,0.0
b1992,3.41299e-05
b1991,3.78615e-05
b1993,3.906265e-05
b0337,0.0002288966
b0336,6.625691e-05
b0446,0.0
b1111,0.0001360616
b0484,0.0008691412
b3816,0.0001459236
b3032,6.903693e-05
b4213,0.0002774465
b0742,0.0002230308
b2049,0.0
b2048,0.0
b2896,0.0
b3911,5.04297e-05
b4484,9.650777e-05
b3912,0.0004090273
b0080,0.0001731214
b0624,0.0
b4397,6.803903e-05
b4398,0.0
b4399,0.0
b4400,0.0
b4109,9.003435e-05
b0240,7.706146e-05
b3357,0.0009118745
b2417,0.001346269
b2810,2.251191e-05
b2811,1.709055e-05
b1042,0.0
b1041,0.0
b1043,0.0
b1040,0.0
b1039,0.0
b1038,0.0
b1037,0.0
b2659,2.528308e-05
b2535,0.0
b2664,0.0
b3556,5.041376e-05
b1557,1.029042e-06
b1823,0.001377075
b0880,0.0005856999
b0623,0.002485035
b1558,0.0
b0990,2.313831e-06
b0989,0.0
b1552,0.0
b2696,0.0
b3252,0.0
b0598,0.001309716
b0123,0.0006005339
b0487,4.413875e-05
b1449,0.0001149373
b0575,1.317892e-05
b0574,2.391413e-05
b0572,1.287253e-05
b0573,3.10212e-05
b0571,0.0002379353
b0570,5.503522e-05
b4137,0.0
b1874,3.393968e-05
b2313,0.0
b1191,5.074449e-05
b3806,0.0
b3807,0.0001097849
b1418,0.0
b4208,0.0004331327
b0733,0.000344288
b0734,0.0001993787
b0886,7.14793e-05
b0887,6.920596e-05
b4515,0.0
b0338,0.0
b0340,0.0
b0339,0.0
b0341,0.0
b0432,0.0004994657
b0431,0.0008206618
b0430,0.0
b0429,0.0
b0428,0.0
b2422,0.0007455856
b1275,0.0002311999
b2750,0.0001065909
b2752,0.0005515192
b3607,0.0001967216
b3368,5.163618e-05
b2762,0.0002867079
b2763,0.0007290715
b2764,0.0004822327
b2414,0.004102578
b2421,0.0002520351
b2751,0.0007413473
b2425,0.0006547153
b4214,0.0001521216
b0526,0.0002621123
b2424,0.0001222841
b2423,0.0
b2413,0.0
b3934,4.638481e-05
b0632,0.0002613707
b3182,8.805972e-05
b0839,0.0003548467
b2010,1.173739e-06
b1189,0.0001796004
b1190,0.0001243248
b3387,0.0
b3388,0.0003263099
b2478,0.0004994748
b0031,0.0002695096
b0166,0.001687505
b2472,7.093472e-05
b3809,7.339526e-05
b1206,2.058303e-05
b1343,0.0
b2065,0.0002238318
b1961,7.852663e-05
b1538,0.0004988718
b3472,0.0001775829
b3528,5.279544e-05
b3507,0.0
b4138,0.0002075333
b4123,0.0
b0621,0.0
b3227,0.0
b4124,0.0
b4125,0.0
b1919,0.0003330373
b0381,5.176328e-05
b0092,8.323844e-05
b1487,7.248167e-05
b1486,0.0
b1485,0.0
b1484,0.0
b1483,0.0
b1488,0.0
b3162,0.0001607824
b2317,0.0
b2314,3.786798e-05
b3287,3.627296e-05
b0161,0.001603014
b3234,0.000241889
b3235,3.252133e-05
b4382,9.280014e-05
b4383,0.0004397795
b4381,8.312688e-05
b4384,0.0007860079
b0840,1.063978e-05
b2511,0.0002474759
b3639,0.0001376702
b0385,0.0
b2067,0.0
b1522,0.0
b0834,0.0
b1786,1.141637e-05
b1341,0.0
b2604,0.0
b1794,0.0
b1956,0.0
b1025,0.0
b1535,0.0
b4042,5.168954e-05
b4477,0.0
b4478,0.0
b3693,0.0
b4479,4.474401e-05
b3691,0.0
b0160,5.020248e-05
b1200,0.0001460279
b1199,0.0001141679
b1198,7.338874e-05
b1201,0.0
b3149,4.179681e-05
b1570,4.550829e-05
b1575,0.0
b1569,0.0
b0231,0.0
b3645,0.0
b4044,0.0
b0799,0.0
b1061,0.0
b0226,4.381414e-05
b4613,0.0
b0055,3.434458e-05
b0646,0.0
b0649,0.0
b3012,6.519213e-05
b0207,4.373938e-05
b0145,0.0009511973
b2133,0.0006972886
b1800,0.0
b1799,0.0
b0894,0.0
b0895,0.0
b0896,0.0
b1591,2.890184e-05
b3702,0.0001201762
b4052,5.594193e-05
b4361,3.201471e-05
b0184,0.0
b3066,5.861359e-05
b0015,0.0003168998
b0014,0.004812717
b3701,0.0001337915
b0215,7.948951e-05
