Gene locus,mass fraction
b3241,0.0
b3240,0.0
b3243,0.0
b3242,0.0
b2836,5.324411e-05
b0885,0.0
b1338,0.0
b1337,0.0
b1339,0.0
b1336,0.0
b2628,0.0
b2627,0.0
b0715,0.0
b0185,0.0006144699
b3255,0.0007524151
b3256,0.0008995312
b2316,0.0007533502
b4015,0.0003839888
b4014,0.0002849948
b0114,0.005592945
b0115,0.003553331
b4016,0.0
b2296,0.0008917876
b1276,0.0003695412
b0118,0.004954995
b0404,0.0
b1094,0.004908329
b2563,1.805436e-05
b3475,2.726421e-05
b0463,0.0004872097
b0462,0.0004461788
b2470,0.0
b3265,0.0
b3266,1.06207e-06
b0464,0.0
b0762,0.0
b4069,0.0003014177
b4067,2.490247e-05
b2213,0.0
b1623,5.996684e-05
b3665,2.589963e-05
b3714,0.0001329476
b3664,0.0
b1241,0.003171258
b1478,0.0
b4117,0.0
b4115,0.0
b4116,0.0
b0474,0.0008676442
b2468,0.0
b3072,0.0
b0476,0.0
b0263,0.0
b0262,0.0
b3135,0.0
b3138,0.0
b3139,0.0
b3140,0.0
b3141,0.0
b3131,5.374027e-05
b3136,0.0
b3133,0.0
b3134,0.0
b1002,5.980887e-05
b0605,0.00536505
b0606,0.0005675017
b4269,4.463188e-05
b4187,0.0
b2252,9.661807e-06
b2290,0.0001630542
b2379,0.0001406946
b2670,0.0
b2697,0.001879118
b1415,0.0008325349
b3588,1.547023e-05
b2068,0.0
b2212,4.432156e-06
b0505,0.0
b0512,0.0
b0516,0.0
b0517,0.0
b0515,0.0
b0506,0.0002252422
b0504,0.0
b2624,0.0
b4053,5.125448e-05
b4087,0.0
b4088,1.096196e-05
b4086,0.0
b4085,0.0
b4084,0.0
b3088,4.097775e-05
b2435,3.189407e-05
b4169,9.234175e-05
b2817,3.665923e-05
b0867,1.6621e-05
b1982,0.000451897
b4150,1.531386e-05
b0110,0.0
b0111,2.196787e-05
b0433,0.0
b0376,3.890358e-05
b0451,0.0
b1927,9.101439e-05
b1640,6.273344e-05
b1767,0.000103336
b2957,0.0
b1453,0.0
b0050,3.139742e-05
b0049,4.275178e-05
b4055,0.0
b0980,1.240141e-05
b0979,0.0
b0978,0.0
b4592,0.0
b0564,0.0
b0469,0.0003188883
b0875,0.0
b0062,0.0
b0063,0.0
b0064,0.0
b0061,0.0
b2841,0.0
b1901,0.0
