Gene locus,mass fraction
b3241,0.0
b3240,0.0
b3243,0.0
b3242,0.0
b2836,3.5521e-05
b0885,0.0
b1338,0.0
b1337,0.0
b1339,0.0
b1336,0.0
b2628,0.0
b2627,0.0
b0715,0.0
b0185,0.0005477712
b3255,0.0007323662
b3256,0.0009619919
b2316,0.0006890299
b4015,0.001396868
b4014,0.0005313805
b0114,0.002687907
b0115,0.001493154
b4016,0.0
b2296,0.0006839268
b1276,0.0003225102
b0118,0.01005193
b0404,0.0
b1094,0.004260189
b2563,1.133393e-05
b3475,3.156371e-05
b0463,0.0004276539
b0462,0.0003574429
b2470,0.0
b3265,0.0
b3266,8.256097e-07
b0464,7.208487e-06
b0762,0.0
b4069,0.003111999
b4067,0.0005471997
b2213,0.0
b1623,7.805044e-05
b3665,4.094256e-05
b3714,7.900989e-05
b3664,0.0
b1241,0.001341952
b1478,0.0
b4117,0.0
b4115,0.0
b4116,0.0
b0474,0.0005348221
b2468,1.236644e-06
b3072,0.000334084
b0476,0.0
b0263,0.0
b0262,0.0
b3135,0.0
b3138,0.0
b3139,0.0
b3140,0.0
b3141,0.0
b3131,4.649704e-05
b3136,0.0
b3133,3.539314e-05
b3134,0.0
b1002,0.0001667576
b0605,0.005944465
b0606,0.0004282363
b4269,4.737141e-05
b4187,0.0
b2252,0.0
b2290,0.0002340916
b2379,0.0001198208
b2670,0.0
b2697,0.001432835
b1415,0.007447951
b3588,3.695925e-05
b2068,0.0
b2212,3.481663e-06
b0505,0.0
b0512,0.0
b0516,0.0
b0517,0.0
b0515,0.0
b0506,0.0001001439
b0504,0.0
b2624,0.0
b4053,5.054167e-05
b4087,0.0
b4088,1.880594e-05
b4086,0.0
b4085,0.0
b4084,0.0
b3088,0.0
b2435,5.464563e-05
b4169,6.440293e-05
b2817,4.806779e-05
b0867,1.193825e-05
b1982,0.0003053412
b4150,2.132345e-05
b0110,0.0
b0111,1.631353e-05
b0433,4.002138e-05
b0376,5.692009e-05
b0451,0.0
b1927,0.0001210511
b1640,5.425556e-05
b1767,9.768786e-05
b2957,0.0
b1453,0.0
b0050,1.967648e-05
b0049,3.646022e-05
b4055,3.841806e-05
b0980,1.467697e-05
b0979,0.0
b0978,0.0
b4592,0.0
b0564,0.0
b0469,0.0002331515
b0875,0.0
b0062,0.0
b0063,0.0
b0064,0.0
b0061,0.0
b2841,0.0
