Gene locus,mass fraction
b3241,0.0
b3240,0.0
b3243,0.0
b3242,0.0
b2836,4.826641e-05
b0885,0.0
b1338,0.0
b1337,0.0
b1339,0.0
b1336,0.0
b2628,0.0
b2627,0.0
b0715,0.0
b0185,0.0005830719
b3255,0.000714443
b3256,0.0009319528
b2316,0.0006585245
b4015,0.002450379
b4014,0.0009265395
b0114,0.002946239
b0115,0.001790412
b4016,0.0
b2296,0.0006887493
b1276,0.0004762564
b0118,0.0109344
b0404,0.0
b1094,0.004412503
b2563,1.454115e-05
b3475,3.552011e-05
b0463,0.0004443494
b0462,0.0003941295
b2470,0.0
b3265,0.0
b3266,1.010417e-06
b0464,8.687177e-06
b0762,0.0
b4069,0.003840451
b4067,0.0007656969
b2213,0.0
b1623,0.0001090067
b3665,6.130136e-05
b3714,8.715854e-05
b3664,0.0
b1241,0.001586812
b1478,0.0
b4117,0.0
b4115,0.0
b4116,0.0
b0474,0.0005564156
b2468,0.0
b3072,0.0002300567
b0476,0.0
b0263,0.0
b0262,0.0
b3135,0.0
b3138,0.0
b3139,0.0
b3140,0.0
b3141,0.0
b3131,5.989747e-05
b3136,0.0
b3133,0.0
b3134,0.0
b1002,0.0002422294
b0605,0.00660295
b0606,0.0004754696
b4269,7.990967e-05
b4187,0.0
b2252,0.0
b2290,0.0002608077
b2379,0.0001331004
b2670,0.0
b2697,0.001462453
b1415,0.008604637
b3588,8.486705e-05
b2068,0.0
b2212,3.793695e-06
b0505,0.0
b0512,0.0
b0516,0.0
b0517,0.0
b0515,0.0
b0506,0.0001271572
b0504,0.0
b2624,0.0
b4053,4.51655e-05
b4087,0.0
b4088,1.953632e-05
b4086,0.0
b4085,0.0
b4084,0.0
b3088,0.0
b2435,3.693364e-05
b4169,6.288027e-05
b2817,4.513535e-05
b0867,1.519612e-05
b1982,0.0003638492
b4150,2.010961e-05
b0110,0.0
b0111,1.699442e-05
b0433,0.0
b0376,6.147301e-05
b0451,0.0
b1927,0.0001320207
b1640,6.66006e-05
b1767,9.267471e-05
b2957,0.0
b1453,0.0
b0050,2.798979e-05
b0049,4.088016e-05
b4055,4.035745e-05
b0980,0.0
b0979,0.0
b0978,0.0
b4592,0.0
b0564,0.0
b0469,0.0002360347
b0875,0.0
b0062,0.0
b0063,0.0
b0064,0.0
b0061,0.0
b2841,0.0
b1901,2.712003e-06
b1900,0.0001337226
