Gene locus,mass fraction
b3241,0.0
b3240,0.0
b3243,0.0
b3242,0.0
b2836,3.65404e-05
b0885,0.0
b1338,0.0
b1337,0.0
b1339,0.0
b1336,0.0
b2628,0.0
b2627,0.0
b0715,0.0
b0185,0.0005846623
b3255,0.0007643046
b3256,0.0009423264
b2316,0.0006719171
b4015,0.005151426
b4014,0.00173538
b0114,0.003032845
b0115,0.001875969
b4016,0.0
b2296,0.0007556318
b1276,0.0006284098
b0118,0.01199434
b0404,0.0
b1094,0.004536825
b2563,1.12583e-05
b3475,4.17188e-05
b0463,0.0004684877
b0462,0.0003976688
b2470,0.0
b3265,0.0
b3266,9.354078e-07
b0464,0.0
b0762,0.0
b4069,0.004699199
b4067,0.001050773
b2213,0.0
b1623,0.0001612676
b3665,5.822568e-05
b3714,4.64205e-05
b3664,0.0
b1241,0.001683197
b1478,0.0
b4117,0.0
b4115,0.0
b4116,0.0
b0474,0.0005217513
b2468,0.0
b3072,0.0001626276
b0476,0.0
b0263,0.0
b0262,0.0
b3135,0.0
b3138,0.0
b3139,0.0
b3140,0.0
b3141,0.0
b3131,6.372177e-05
b3136,0.0
b3133,5.302314e-05
b3134,0.0
b1002,0.0003421371
b0605,0.00764719
b0606,0.0004604526
b4269,0.0001332965
b4187,0.0
b2252,0.0
b2290,0.0002801853
b2379,0.0001555183
b2670,0.0
b2697,0.001377734
b1415,0.0119121
b3588,0.0001738443
b2068,0.0
b2212,3.911739e-06
b0505,0.0
b0512,4.268475e-05
b0516,0.0
b0517,0.0
b0515,0.0
b0506,0.0001106674
b0504,0.0
b2624,0.0
b4053,4.61309e-05
b4087,0.0
b4088,2.367697e-05
b4086,0.0
b4085,0.0
b4084,0.0
b3088,0.0
b2435,4.047674e-05
b4169,5.683286e-05
b2817,4.040179e-05
b0867,1.580382e-05
b1982,0.0003987704
b4150,1.980124e-05
b0110,0.0
b0111,2.304075e-05
b0433,0.0
b0376,5.147927e-05
b0451,0.0
b1927,0.0001809138
b1640,8.102025e-05
b1767,9.155273e-05
b2957,0.0
b1453,0.0
b0050,3.978598e-05
b0049,4.517264e-05
b4055,6.407428e-05
b0980,0.0
b0979,0.0
b0978,0.0
b4592,0.0
b0564,0.0
b0469,0.0001684891
b0875,0.0
b0062,0.0
b0063,0.0
b0064,0.0
b0061,0.0
b2841,0.0
b1901,3.718209e-06
b1900,0.0001754772
