Gene locus,mass fraction
b3241,0.0
b3240,0.0
b3243,0.0
b3242,0.0
b2836,4.870917e-05
b0885,0.0
b1338,0.0
b1337,0.0
b1339,0.0
b1336,0.0
b2628,0.0
b2627,0.0
b0715,0.0
b0185,0.0006007672
b3255,0.0006555053
b3256,0.0007779244
b2316,0.0007020993
b4015,0.0003945712
b4014,0.0002696709
b0114,0.006535954
b0115,0.004514358
b4016,0.0
b2296,0.0009943709
b1276,0.0005259601
b0118,0.004355764
b0404,0.0
b1094,0.005112013
b2563,1.707358e-05
b3475,2.309968e-05
b0463,0.0005199532
b0462,0.0004986008
b2470,0.0
b3265,0.0
b3266,1.007917e-06
b0464,4.309573e-06
b0762,0.0
b4069,0.000241008
b4067,2.707731e-05
b2213,0.0
b1623,8.441161e-05
b3665,0.0
b3714,0.0
b3664,0.0
b1241,0.004628861
b1478,0.0
b4117,0.0
b4115,0.0
b4116,0.0
b0474,0.0009317621
b2468,0.0
b3072,0.0
b0476,0.0
b0263,0.0
b0262,0.0
b3135,0.0
b3138,0.0
b3139,0.0
b3140,0.0
b3141,0.0
b3131,5.368921e-05
b3136,0.0
b3133,0.0
b3134,0.0
b1002,7.829034e-05
b0605,0.006250434
b0606,0.0005927523
b4269,8.299012e-05
b4187,0.0
b2252,1.4868e-05
b2290,0.0001994736
b2379,0.0001591398
b2670,0.0
b2697,0.001783244
b1415,0.0006432811
b3588,2.027759e-05
b2068,0.0
b2212,5.221424e-06
b0505,0.0
b0512,0.0
b0516,0.0
b0517,0.0
b0515,0.0
b0506,0.0002340011
b0504,0.0
b2624,0.0
b4053,5.279648e-05
b4087,0.0
b4088,1.197775e-05
b4086,0.0
b4085,0.0
b4084,0.0
b3088,3.380488e-05
b2435,3.811228e-05
b4169,0.0001080665
b2817,4.368452e-05
b0867,2.174259e-05
b1982,0.0006711207
b4150,1.903644e-05
b0110,0.0
b0111,3.117509e-05
b0433,0.0
b0376,4.17521e-05
b0451,0.0
b1927,0.0001370694
b1640,6.835187e-05
b1767,0.0001036005
b2957,0.0
b1453,0.0
b0050,5.73156e-05
b0049,5.260444e-05
b4055,1.575366e-05
b0980,0.0
b0979,0.0
b0978,0.0
b4592,0.0
b0564,0.0
b0469,0.0002406545
b0875,0.0
b0062,0.0
b0063,0.0
b0064,0.0
b0061,0.0
b2841,0.0
b1901,0.0
b1900,1.529237e-05
