Gene locus,mass fraction
b1883,2.729994e-05
b1884,0.0
b1887,0.0001050074
b1882,0.0001568892
b1881,4.443089e-05
b3338,0.0
b0681,0.0
b1741,0.0
b4225,0.0
b4224,0.0
b2155,5.11367e-05
b0618,0.0
b0617,0.0
b0616,0.0
b0615,0.0
b0613,0.0
b0612,0.0
b0614,0.0
b0155,0.0
b1592,4.845376e-06
b0882,0.00142376
b2592,0.0008257588
b0437,0.0004619741
b0881,0.0
b0438,0.0008118746
b1249,0.0001170249
b0789,0.0
b1046,0.0
b0910,8.749831e-05
b1870,4.84812e-05
b1871,4.979604e-05
b0921,1.469901e-05
b2933,0.0
b2934,0.0
b1625,1.313855e-05
b3974,9.431824e-05
b3634,4.640364e-05
b0103,2.444313e-05
b1120,0.0001452406
b0638,0.0
b1992,4.883801e-05
b1991,4.642216e-05
b1993,3.151538e-05
b0337,0.0002352489
b0336,8.293504e-05
b0446,0.0
b1111,3.548341e-05
b0484,0.001388075
b3816,0.0001439797
b3032,5.213742e-05
b4213,0.000126374
b0742,0.0003809318
b2049,0.0
b2048,0.0
b2896,0.0
b3911,4.974731e-05
b4484,5.235654e-05
b3912,0.0004362344
b0080,0.0001046291
b0624,0.0
b4397,6.838802e-05
b4398,0.0
b4399,0.0
b4400,0.0
b4109,0.0
b0240,0.0001360901
b3357,0.0008120132
b2417,0.00232246
b2810,3.143208e-05
b2811,2.777606e-05
b1042,0.0
b1041,0.0
b1043,0.0
b1040,0.0
b1039,0.0
b1038,0.0
b1037,0.0
b2659,0.0
b2535,0.0
b2664,0.0
b3556,0.000103511
b1557,0.0
b1823,0.001611586
b0880,8.666849e-05
b0623,0.001886082
b1558,0.0
b0990,3.706937e-06
b0989,0.0
b1552,0.0
b2696,0.0
b3252,0.0
b0598,7.555061e-05
b0123,0.00108278
b0487,4.577587e-05
b1449,7.909923e-05
b0575,1.75578e-05
b0574,3.107084e-05
b0572,1.536394e-05
b0573,5.174588e-05
b0571,0.0002529855
b0570,5.857626e-05
b4137,0.0
b1874,5.729197e-05
b2313,0.0
b1191,2.691417e-05
b3806,0.0001885853
b3807,0.0001063344
b1418,0.0
b4208,0.0002277594
b0733,0.0004321313
b0734,0.0002382504
b0886,3.773475e-05
b0887,7.669042e-05
b4515,0.0
b0338,0.0
b0340,0.0
b0339,0.0
b0341,0.0
b0432,0.0004713952
b0431,0.0008325069
b0430,0.0
b0429,0.0
b0428,0.0
b2422,0.0008801139
b1275,0.0002188397
b2750,0.0001179417
b2752,0.0007500901
b3607,0.0001746696
b3368,6.767408e-05
b2762,0.0003557572
b2763,0.0008445311
b2764,0.0005914682
b2414,0.005010503
b2421,0.0003044596
b2751,0.0009001244
b2425,0.000680609
b4214,0.0001302913
b0526,0.0003344206
b2424,0.0001617632
b2423,0.0
b2413,0.0
b3934,3.193468e-05
b0632,0.0003248685
b3182,0.0001144732
b0839,0.0003729488
b2010,1.161929e-06
b1189,0.0001475112
b1190,8.670591e-05
b3387,3.818418e-05
b3388,0.0004473325
b2478,0.0007163269
b0031,0.00161379
b0166,0.006558503
b2472,0.0001175731
b3809,6.690774e-05
b1206,0.0
b1343,0.0
b2065,0.0001750976
b1961,0.0
b1538,0.0005397004
b3472,0.0002098667
b3528,3.069331e-05
b3507,0.0
b4138,0.0001408128
b4123,0.0
b0621,0.0
b3227,0.0
b4124,0.0
b4125,0.0
b1919,0.000189203
b0381,9.678132e-05
b0092,9.943418e-05
b1487,2.009203e-05
b1486,0.0
b1485,0.0
b1484,0.0
b1483,0.0
b1488,0.0
b3162,0.0002777156
b2317,0.0
b2314,4.541815e-05
b3287,3.172942e-05
b0161,0.0009583077
b3234,0.0002457585
b3235,3.754124e-05
b4382,9.3503e-05
b4383,0.0003453325
b4381,0.00010416
b4384,0.0004428562
b0840,1.249241e-05
b2511,0.0002702126
b3639,0.0001497339
b0385,0.0
b2067,0.0
b1522,0.0
b0834,0.0
b1786,1.879884e-05
b1341,0.0
b2604,0.0
b1794,0.0
b1956,0.0
b1025,0.0
b1535,0.0
b4042,8.281347e-05
b4477,0.0
b4478,0.0
b3693,0.0
b4479,4.301013e-05
b3691,0.0
b0160,0.0
b1200,7.50561e-05
b1199,0.0
b1198,0.0001439656
b1201,0.0
b3149,4.087411e-05
b1570,4.086455e-05
b1575,0.0
b1569,0.0
b0231,0.0
b3645,0.0
b4044,0.0
b0799,0.0
b1061,0.0
b0226,5.492509e-05
b4613,0.0
b0055,3.611559e-05
b0646,0.0
b0649,0.0
b3012,0.000156995
b0207,3.453503e-05
b0145,0.0006348527
b2133,0.0006222803
b1800,0.0
b1799,0.0
b0894,0.0
b0895,0.0
b0896,0.0
b1591,3.305765e-05
b3702,0.0001030812
b4052,8.290871e-05
b4361,4.522499e-05
b0184,0.0
b3066,5.048249e-05
b0015,0.0002946244
b0014,0.00458117
b3701,0.0001530725
b0215,0.0
b4362,1.623891e-05
b0470,0.0001122305
b1490,0.0
b1489,0.0
b0620,0.0
b0619,0.0
b3544,0.002706149
b3543,6.955253e-05
b3542,6.085882e-05
b3541,0.0001028995
b3540,0.0001124982
b0812,0.0001493596
b3860,0.0003588874
b1185,2.064772e-05
b2893,0.0001321432
b4136,7.156987e-05
b0604,5.390004e-05
b2366,4.453112e-05
b2364,0.0
b2365,0.0
b1952,0.0
b3887,7.990711e-05
b1634,0.0
b3496,0.0
b4130,0.0
b0709,0.0
b4049,7.398246e-05
b3260,2.838994e-05
b2140,0.0
b3640,0.0001787687
b0173,4.876027e-05
b0420,0.0001276136
b0297,0.0
b1533,0.0
b2578,0.0
b3076,0.0
b3077,0.0
b3075,2.538858e-05
b4410,0.0
b4411,0.0003262064
b2209,1.708739e-05
b0293,0.0
b0292,0.0
b0291,0.0
b0290,0.0
b0289,0.0
b0294,0.0
